2024-01-07 15:47:20,347 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\mikac\OneDrive\Desktop\apache-activemq-6.0.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2024-01-07 15:47:20,351 | INFO  | Starting Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\mikac\OneDrive\Desktop\apache-activemq-6.0.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2024-01-07 15:47:20,367 | INFO  | Starting KahaDBStore | org.apache.activemq.store.kahadb.KahaDBStore | main
2024-01-07 15:47:20,368 | INFO  | Opening MessageDatabase | org.apache.activemq.store.kahadb.MessageDatabase | main
2024-01-07 15:47:20,510 | INFO  | Starting Temp Data Store | org.apache.activemq.broker.BrokerService | main
2024-01-07 15:47:20,510 | INFO  | PListStore:[C:\Users\mikac\OneDrive\Desktop\apache-activemq-6.0.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2024-01-07 15:47:20,510 | INFO  | Starting Job Scheduler Store | org.apache.activemq.broker.BrokerService | main
2024-01-07 15:47:20,511 | INFO  | Persistence Adapter successfully started | org.apache.activemq.broker.BrokerService | main
2024-01-07 15:47:20,657 | INFO  | Apache ActiveMQ 6.0.1 (localhost, ID:LAPTOP-L10PJ9D0-51002-1704638840518-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2024-01-07 15:47:20,673 | INFO  | Listening for connections at: tcp://LAPTOP-L10PJ9D0:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2024-01-07 15:47:20,674 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2024-01-07 15:47:20,677 | INFO  | Listening for connections at: amqp://LAPTOP-L10PJ9D0:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2024-01-07 15:47:20,678 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2024-01-07 15:47:20,680 | INFO  | Listening for connections at: stomp://LAPTOP-L10PJ9D0:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2024-01-07 15:47:20,680 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2024-01-07 15:47:20,682 | INFO  | Listening for connections at: mqtt://LAPTOP-L10PJ9D0:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2024-01-07 15:47:20,682 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2024-01-07 15:47:20,685 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | main
2024-01-07 15:47:20,718 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | main
2024-01-07 15:47:20,797 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@ae202c6{/,null,STARTING} has uncovered HTTP methods for the following paths: [/] | org.eclipse.jetty.security.SecurityHandler | main
2024-01-07 15:47:20,853 | INFO  | Listening for connections at ws://LAPTOP-L10PJ9D0:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2024-01-07 15:47:20,853 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2024-01-07 15:47:20,853 | INFO  | Apache ActiveMQ 6.0.1 (localhost, ID:LAPTOP-L10PJ9D0-51002-1704638840518-0:1) started | org.apache.activemq.broker.BrokerService | main
2024-01-07 15:47:20,853 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2024-01-07 15:47:21,456 | INFO  | ActiveMQ WebConsole available at http://127.0.0.1:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2024-01-07 15:47:21,456 | INFO  | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2024-01-07 16:16:24,197 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:52290 failed: Frame size of 1 GB larger than max allowed 100 MB | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:52290@61616
2024-01-07 16:16:25,222 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:52291 failed: Frame size of 1 GB larger than max allowed 100 MB | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:52291@61616
2024-01-08 11:39:36,827 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\mikac\OneDrive\Desktop\apache-activemq-6.0.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2024-01-08 11:39:36,830 | INFO  | Starting Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\mikac\OneDrive\Desktop\apache-activemq-6.0.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2024-01-08 11:39:36,847 | INFO  | Starting KahaDBStore | org.apache.activemq.store.kahadb.KahaDBStore | main
2024-01-08 11:39:36,847 | INFO  | Opening MessageDatabase | org.apache.activemq.store.kahadb.MessageDatabase | main
